"Name"	"Measurement 3"
"Description"	""
"Date"	"2/25/2025 2:12:24 PM"
"Voltage(kV)"	"50"
"Current(uA)"	"98"
"Measurement time(s)"	"100"
"Dead time(%)"	"26.30"
"CountRate"	"153894.42"
"Processing Time"	"Process 2"
"Filter"	"None"
"Collimator"	"3 mm"
"Channel"	"4096"
"5.70"	"1682"
"5.71"	"1738"
"5.72"	"1793"
"5.73"	"1804"
"5.74"	"1841"
"5.75"	"1919"
"5.76"	"1995"
"5.77"	"2032"
"5.78"	"2148"
"5.79"	"2245"
"5.80"	"2479"
"5.81"	"2675"
"5.82"	"2978"
"5.83"	"3156"
"5.84"	"3544"
"5.85"	"3840"
"5.86"	"4082"
"5.87"	"4351"
"5.88"	"4486"
"5.89"	"4552"
"5.90"	"4490"
"5.91"	"4528"
"5.92"	"4359"
"5.93"	"4224"
"5.94"	"4078"
"5.95"	"3769"
"5.96"	"3320"
"5.97"	"3085"
"5.98"	"2899"
"5.99"	"2783"
"6.00"	"2532"
"6.01"	"2352"
"6.02"	"2333"
"6.03"	"2264"
"6.04"	"2201"
"6.05"	"2204"
"6.06"	"2247"
"6.07"	"2200"
"6.08"	"2203"
"6.09"	"2238"
"6.10"	"2298"
"6.11"	"2327"
"6.12"	"2346"
"6.13"	"2394"
"6.14"	"2481"
"6.15"	"2512"
"6.16"	"2615"
"6.17"	"2838"
"6.18"	"3048"
"6.19"	"3375"
"6.20"	"3870"
"6.21"	"4676"
"6.22"	"5958"
"6.23"	"7846"
"6.24"	"10700"
"6.25"	"14830"
"6.26"	"20614"
"6.27"	"28481"
"6.28"	"39197"
"6.29"	"52624"
"6.30"	"69567"
"6.31"	"90846"
"6.32"	"114578"
"6.33"	"140512"
"6.34"	"167793"
"6.35"	"195461"
"6.36"	"220989"
"6.37"	"243607"
"6.38"	"260398"
"6.39"	"270808"
"6.40"	"273772"
"6.41"	"270076"
"6.42"	"257025"
"6.43"	"238784"
"6.44"	"215447"
"6.45"	"189545"
"6.46"	"162400"
"6.47"	"135317"
"6.48"	"109679"
"6.49"	"85880"
"6.50"	"66113"
"6.51"	"50071"
"6.52"	"36940"
"6.53"	"26828"
"6.54"	"19425"
"6.55"	"13954"
"6.56"	"10125"
"6.57"	"7586"
"6.58"	"5746"
"6.59"	"4675"
"6.60"	"3978"
"6.61"	"3569"
"6.62"	"3317"
"6.63"	"3152"
"6.64"	"3011"
"6.65"	"3024"
"6.66"	"2960"
"6.67"	"3028"
"6.68"	"2892"
"6.69"	"2951"
"6.70"	"2967"
"6.71"	"2917"
"6.72"	"2942"
"6.73"	"2963"
"6.74"	"3011"
"6.75"	"3112"
"6.76"	"3093"
"6.77"	"3185"
"6.78"	"3184"
"6.79"	"3233"
"6.80"	"3248"
"6.81"	"3421"
"6.82"	"3531"
"6.83"	"3656"
"6.84"	"3777"
"6.85"	"4079"
"6.86"	"4209"
"6.87"	"4612"
"6.88"	"5122"
"6.89"	"5571"
"6.90"	"6478"
"6.91"	"7458"
"6.92"	"8565"
"6.93"	"10192"
"6.94"	"12319"
"6.95"	"14758"
"6.96"	"17448"
"6.97"	"20925"
"6.98"	"24747"
"6.99"	"28547"
"7.00"	"32554"
"7.01"	"36575"
"7.02"	"39714"
"7.03"	"42087"
"7.04"	"44356"
"7.05"	"45250"
"7.06"	"45277"
"7.07"	"43973"
"7.08"	"41545"
