"Name"	"Measurement 2"
"Description"	""
"Date"	"2/25/2025 2:05:30 PM"
"Voltage(kV)"	"50"
"Current(uA)"	"111"
"Measurement time(s)"	"100"
"Dead time(%)"	"28.74"
"CountRate"	"154674.2"
"Processing Time"	"Process 2"
"Filter"	"None"
"Collimator"	"3 mm"
"Channel"	"4096"
"8.33"	"4364"
"8.34"	"4347"
"8.35"	"4297"
"8.36"	"4332"
"8.37"	"4281"
"8.38"	"4370"
"8.39"	"4318"
"8.40"	"4337"
"8.41"	"4398"
"8.42"	"4373"
"8.43"	"4422"
"8.44"	"4342"
"8.45"	"4369"
"8.46"	"4487"
"8.47"	"4454"
"8.48"	"4450"
"8.49"	"4481"
"8.50"	"4515"
"8.51"	"4599"
"8.52"	"4603"
"8.53"	"4788"
"8.54"	"4809"
"8.55"	"4813"
"8.56"	"4900"
"8.57"	"4978"
"8.58"	"5114"
"8.59"	"5129"
"8.60"	"5047"
"8.61"	"5130"
"8.62"	"5243"
"8.63"	"5135"
"8.64"	"5254"
"8.65"	"5380"
"8.66"	"5403"
"8.67"	"5346"
"8.68"	"5236"
"8.69"	"5089"
"8.70"	"5085"
"8.71"	"5001"
"8.72"	"5052"
"8.73"	"5097"
"8.74"	"4978"
"8.75"	"4939"
"8.76"	"4926"
"8.77"	"4903"
"8.78"	"5081"
"8.79"	"5105"
"8.80"	"4964"
"8.81"	"5033"
"8.82"	"5154"
"8.83"	"5126"
"8.84"	"5064"
"8.85"	"5132"
"8.86"	"5123"
"8.87"	"5123"
"8.88"	"5225"
"8.89"	"5186"
"8.90"	"5172"
"8.91"	"5213"
"8.92"	"5127"
"8.93"	"5131"
"8.94"	"5186"
"8.95"	"5284"
"8.96"	"5256"
"8.97"	"5183"
"8.98"	"5078"
"8.99"	"5126"
"9.00"	"5119"
"9.01"	"5178"
"9.02"	"5193"
"9.03"	"5250"
"9.04"	"5133"
"9.05"	"5248"
"9.06"	"5205"
"9.07"	"5192"
"9.08"	"5220"
"9.09"	"5327"
"9.10"	"5324"
"9.11"	"5289"
"9.12"	"5438"
"9.13"	"5386"
"9.14"	"5369"
"9.15"	"5396"
"9.16"	"5490"
"9.17"	"5530"
"9.18"	"5665"
"9.19"	"5764"
"9.20"	"5694"
"9.21"	"5757"
"9.22"	"5671"
"9.23"	"5788"
"9.24"	"5744"
"9.25"	"5704"
"9.26"	"5916"
"9.27"	"5827"
"9.28"	"5817"
"9.29"	"5838"
"9.30"	"5638"
"9.31"	"5625"
"9.32"	"5585"
"9.33"	"5653"
"9.34"	"5624"
"9.35"	"5611"
"9.36"	"5505"
"9.37"	"5559"
"9.38"	"5536"
"9.39"	"5613"
"9.40"	"5573"
"9.41"	"5586"
"9.42"	"5487"
"9.43"	"5593"
"9.44"	"5598"
"9.45"	"5573"
"9.46"	"5484"
"9.47"	"5522"
"9.48"	"5542"
"9.49"	"5600"
"9.50"	"5681"
"9.51"	"5658"
"9.52"	"5628"
"9.53"	"5663"
"9.54"	"5627"
"9.55"	"5708"
"9.56"	"5655"
"9.57"	"5630"
"9.58"	"5641"
"9.59"	"5699"
"9.60"	"5571"
"9.61"	"5652"
"9.62"	"5592"
"9.63"	"5548"
"9.64"	"5688"
"9.65"	"5717"
"9.66"	"5556"
"9.67"	"5678"
"9.68"	"5623"
"9.69"	"5568"
"9.70"	"5591"
"9.71"	"5648"
"9.72"	"5564"
"9.73"	"5587"
"9.74"	"5498"
"9.75"	"5624"
"9.76"	"5507"
"9.77"	"5659"
"9.78"	"5474"
"9.79"	"5574"
"9.80"	"5563"
"9.81"	"5542"
"9.82"	"5612"
"9.83"	"5581"
"9.84"	"5535"
"9.85"	"5650"
"9.86"	"5497"
"9.87"	"5495"
"9.88"	"5706"
"9.89"	"5654"
"9.90"	"5640"
"9.91"	"5589"
"9.92"	"5595"
"9.93"	"5590"
"9.94"	"5688"
"9.95"	"5649"
"9.96"	"5578"
"9.97"	"5579"
"9.98"	"5574"
"9.99"	"5769"
"10.00"	"5687"
"10.01"	"5699"
"10.02"	"5597"
"10.03"	"5610"
"10.04"	"5629"
"10.05"	"5616"
"10.06"	"5701"
"10.07"	"5796"
"10.08"	"5654"
"10.09"	"5604"
"10.10"	"5568"
"10.11"	"5594"
"10.12"	"5688"
"10.13"	"5620"
"10.14"	"5669"
"10.15"	"5768"
"10.16"	"5641"
"10.17"	"5704"
"10.18"	"5857"
"10.19"	"5771"
"10.20"	"5679"
"10.21"	"5680"
"10.22"	"5676"
"10.23"	"5690"
"10.24"	"5830"
"10.25"	"5606"
"10.26"	"5665"
"10.27"	"5736"
"10.28"	"5787"
"10.29"	"5815"
"10.30"	"5655"
"10.31"	"5588"
"10.32"	"5554"
"10.33"	"5764"
"10.34"	"5759"
"10.35"	"5758"
"10.36"	"5719"
"10.37"	"5662"
"10.38"	"5611"
"10.39"	"5605"
"10.40"	"5796"
"10.41"	"5707"
"10.42"	"5935"
"10.43"	"5864"
"10.44"	"5716"
"10.45"	"5733"
"10.46"	"5702"
"10.47"	"5756"
"10.48"	"5760"
"10.49"	"5761"
"10.50"	"5809"
"10.51"	"5665"
"10.52"	"5695"
"10.53"	"5837"
"10.54"	"5864"
"10.55"	"5767"
"10.56"	"5679"
"10.57"	"5733"
"10.58"	"5720"
"10.59"	"5759"
"10.60"	"5838"
"10.61"	"5728"
"10.62"	"5841"
"10.63"	"5769"
"10.64"	"5790"
"10.65"	"5732"
"10.66"	"5762"
"10.67"	"5736"
"10.68"	"5837"
"10.69"	"5814"
"10.70"	"5812"
"10.71"	"5805"
"10.72"	"5788"
"10.73"	"5764"
"10.74"	"5772"
"10.75"	"5862"
"10.76"	"5820"
"10.77"	"5860"
"10.78"	"5896"
"10.79"	"5885"
"10.80"	"5854"
"10.81"	"5856"
"10.82"	"5824"
"10.83"	"5914"
"10.84"	"5897"
"10.85"	"5870"
"10.86"	"5903"
"10.87"	"6007"
"10.88"	"5975"
"10.89"	"5862"
"10.90"	"5971"
"10.91"	"6011"
"10.92"	"6096"
"10.93"	"5984"
"10.94"	"5984"
"10.95"	"5886"
"10.96"	"5996"
"10.97"	"6024"
"10.98"	"6013"
"10.99"	"6054"
"11.00"	"6102"
"11.01"	"6122"
"11.02"	"6099"
"11.03"	"6076"
"11.04"	"6011"
"11.05"	"6107"
"11.06"	"5923"
"11.07"	"5973"
"11.08"	"6008"
"11.09"	"6043"
"11.10"	"6009"
"11.11"	"6103"
"11.12"	"6114"
"11.13"	"5911"
"11.14"	"5929"
"11.15"	"6089"
"11.16"	"6035"
"11.17"	"6085"
"11.18"	"6075"
"11.19"	"6091"
"11.20"	"6053"
"11.21"	"6006"
"11.22"	"6067"
"11.23"	"6033"
"11.24"	"6038"
"11.25"	"6086"
"11.26"	"5985"
"11.27"	"6147"
"11.28"	"6155"
"11.29"	"6033"
"11.30"	"6187"
"11.31"	"6095"
"11.32"	"6145"
"11.33"	"6194"
